Incident_Number,Area_Occ,Rpt_Dist,Dispatch_Date,Dispatch_Time,Call_Type_Code,Call_Type_Text
PD22012600000212,Outside,,01/26/2022 12:00:00 AM,01:29:56,006,CODE 6
PD22012600000211,Outside,,01/26/2022 12:00:00 AM,01:29:50,902,TRAFFIC STOP
PD22012600000210,Outside,,01/26/2022 12:00:00 AM,01:29:23,006,CODE 6
PD22012600000203,Central,0162,01/26/2022 12:00:00 AM,01:29:12,4591I,BFV INVEST
PD22012600000208,Outside,,01/26/2022 12:00:00 AM,01:28:54,902,TRAFFIC STOP
PD22012600000207,Outside,,01/26/2022 12:00:00 AM,01:28:38,902,TRAFFIC STOP
PD22012600000204,Outside,,01/26/2022 12:00:00 AM,01:26:43,006,CODE 6
PD22060700002534,Pacific,1455,06/07/2022 12:00:00 AM,14:24:44,7203,FD
PD22012600000198,Rampart,0247,01/26/2022 12:00:00 AM,01:25:39,245PFJ,POSS SHOTS FIRED J/O
PD22012600000194,Wilshire,0706,01/26/2022 12:00:00 AM,01:25:14,507O,OTHER
PD22012600000195,Wilshire,0758,01/26/2022 12:00:00 AM,01:24:38,447SN,SUSP NOW
PD22012600000199,Outside,,01/26/2022 12:00:00 AM,01:24:37,006,CODE 6
PD22012600000193,Outside,,01/26/2022 12:00:00 AM,01:21:52,902,TRAFFIC STOP
PD22012600000189,Hollywood,0646,01/26/2022 12:00:00 AM,01:20:44,484SN,SUSP NOW
PD22012600000192,Outside,,01/26/2022 12:00:00 AM,01:20:34,006,CODE 6
PD22012600000186,N Hollywood,1511,01/26/2022 12:00:00 AM,01:19:00,447SN,SUSP NOW
PD22012600000191,Outside,,01/26/2022 12:00:00 AM,01:18:56,006,CODE 6
PD22012600000190,Outside,,01/26/2022 12:00:00 AM,01:18:40,006,CODE 6
PD22012600000184,Mission,1982,01/26/2022 12:00:00 AM,01:17:31,620DR,DOM VIOL R/O
PD22012600000188,Wilshire,0755,01/26/2022 12:00:00 AM,01:17:21,006,CODE 6
PD22012600000162,N Hollywood,1532,01/26/2022 12:00:00 AM,01:16:52,906B,BURGLARY
PD22012600000167,Hollywood,0646,01/26/2022 12:00:00 AM,01:16:45,7203,FD
PD22012600000187,Outside,,01/26/2022 12:00:00 AM,01:16:34,006,CODE 6
PD22012600000185,Northeast,1127,01/26/2022 12:00:00 AM,01:16:11,415M,MAN
PD22012600000039,Rampart,0216,01/26/2022 12:00:00 AM,01:15:44,594J,J/O
PD22012600000131,Rampart,0203,01/26/2022 12:00:00 AM,01:15:40,594SN,SUSP NOW
PD22012600000172,Southwest,0361,01/26/2022 12:00:00 AM,01:15:31,620M,MAN/WMN
PD22012600000166,Southwest,0375,01/26/2022 12:00:00 AM,01:15:11,415M,MAN
PD22012600000158,Devonshire,1745,01/26/2022 12:00:00 AM,01:14:54,4591SN,BFV SUSP NOW
PD22012600000181,Hollenbeck,0402,01/26/2022 12:00:00 AM,01:14:43,245FJ,SHOTS FIRED J/O
PD22012600000183,Outside,,01/26/2022 12:00:00 AM,01:14:17,006,CODE 6
PD22012600000178,Mission,1924,01/26/2022 12:00:00 AM,01:13:13,620DR,DOM VIOL R/O
PD22012600000180,Outside,,01/26/2022 12:00:00 AM,01:12:56,006,CODE 6
PD22012600000179,Outside,,01/26/2022 12:00:00 AM,01:12:20,006,CODE 6
PD22012600000177,Hollywood,0645,01/26/2022 12:00:00 AM,01:11:02,006,CODE 6
PD22012600000176,Outside,,01/26/2022 12:00:00 AM,01:10:17,902,TRAFFIC STOP
PD22012600000175,Outside,,01/26/2022 12:00:00 AM,01:09:50,006,CODE 6
PD22012600000152,West Valley,1039,01/26/2022 12:00:00 AM,01:09:24,2451SL,W/VEH SUSP J/L
PD22012600000174,Hollywood,0646,01/26/2022 12:00:00 AM,01:09:10,006,CODE 6
PD22012600000136,Olympic,2016,01/26/2022 12:00:00 AM,01:08:51,620D,DOM VIOL
PD22012600000173,Outside,,01/26/2022 12:00:00 AM,01:07:59,006,CODE 6
PD22012600000171,Outside,,01/26/2022 12:00:00 AM,01:07:47,006,CODE 6
PD22012600000159,N Hollywood,1547,01/26/2022 12:00:00 AM,01:07:19,4591SN,BFV SUSP NOW
PD22012600000165,Mission,1958,01/26/2022 12:00:00 AM,01:06:32,245DX,DOM VIOL IN PROGRESS
PD22012600000168,Outside,,01/26/2022 12:00:00 AM,01:06:23,902,TRAFFIC STOP
PD22012600000143,Newton,1383,01/26/2022 12:00:00 AM,01:05:53,484PS,POSS SUSP
PD22012600000116,Newton,1373,01/26/2022 12:00:00 AM,01:05:49,620L,LANDLORD/TENANT
PD22012600000163,Outside,,01/26/2022 12:00:00 AM,01:05:05,006,CODE 6
PD22012600000125,Newton,1303,01/26/2022 12:00:00 AM,01:04:58,906B1,CODE 30 RINGER
PD22012600000160,Southwest,0362,01/26/2022 12:00:00 AM,01:03:56,006,CODE 6
PD22012600000151,Newton,1371,01/26/2022 12:00:00 AM,01:03:34,242PS,POSS SUSP
PD22012600000130,Newton,1325,01/26/2022 12:00:00 AM,01:03:20,620D,DOM VIOL
PD22012600000154,77th Street,1253,01/26/2022 12:00:00 AM,01:00:37,620M,MAN/WMN
PD22012600000157,Outside,,01/26/2022 12:00:00 AM,01:00:19,006,CODE 6
PD22012600000142,Northeast,1135,01/26/2022 12:00:00 AM,01:00:12,507O,OTHER
PD22012600000156,Outside,,01/26/2022 12:00:00 AM,00:59:54,006,CODE 6
PD22012600000155,Outside,,01/26/2022 12:00:00 AM,00:59:50,006,CODE 6
PD22012600000063,Northeast,1132,01/26/2022 12:00:00 AM,00:59:45,9212,TRESPASS SUSP
PD22012600000117,Hollywood,0626,01/26/2022 12:00:00 AM,00:59:22,507P,PARTY
PD22012600000153,Outside,,01/26/2022 12:00:00 AM,00:58:39,902,TRAFFIC STOP
PD22012600000150,Outside,,01/26/2022 12:00:00 AM,00:57:29,006,CODE 6
PD22061400000076,Hollenbeck,0426,06/14/2022 12:00:00 AM,00:29:37,390M,MAN
PD22012600000088,Central,0182,01/26/2022 12:00:00 AM,00:57:15,415W,WOMAN
PD22012600000085,Harbor,0526,01/26/2022 12:00:00 AM,00:56:37,620F,FAMILY
